TIME,UR
1955-01-01,2.5083330000000004
1956-01-01,2.291667
1957-01-01,1.925
1958-01-01,2.041667
1959-01-01,2.225
1960-01-01,1.625
1961-01-01,1.433333
1962-01-01,1.283333
1963-01-01,1.283333
1964-01-01,1.175
1965-01-01,1.216667
1966-01-01,1.308333
1967-01-01,1.258333
1968-01-01,1.183333
1969-01-01,1.125
1970-01-01,1.15
1971-01-01,1.225
1972-01-01,1.416667
1973-01-01,1.266667
1974-01-01,1.375
1975-01-01,1.8916669999999998
1976-01-01,2.0083330000000004
1977-01-01,2.025
1978-01-01,2.2416669999999996
1979-01-01,2.083333
1980-01-01,2.0083330000000004
1981-01-01,2.208333
1982-01-01,2.35
1983-01-01,2.6583330000000003
1984-01-01,2.708333
1985-01-01,2.6166669999999996
1986-01-01,2.7583330000000004
1987-01-01,2.85
1988-01-01,2.5333330000000003
1989-01-01,2.266667
1990-01-01,2.108333
1991-01-01,2.1
1992-01-01,2.15
1993-01-01,2.5
1994-01-01,2.891667
1995-01-01,3.15
1996-01-01,3.35
1997-01-01,3.4
1998-01-01,4.108333
1999-01-01,4.683333
2000-01-01,4.716667
2001-01-01,5.033333
2002-01-01,5.375
2003-01-01,5.258333
2004-01-01,4.716667
2005-01-01,4.425
2006-01-01,4.141667
2007-01-01,3.8416669999999997
2008-01-01,3.9916669999999996
2009-01-01,5.066667
2010-01-01,5.05
2011-01-01,4.5833330000000005
2012-01-01,4.35
2013-01-01,4.025
2014-01-01,3.5916669999999997
2015-01-01,3.375
2016-01-01,3.1166669999999996
2017-01-01,2.808333
2018-01-01,2.441667
2019-01-01,2.35
