TIME,UR
1967-01-01,1.875
1968-01-01,1.85
1969-01-01,1.8
1970-01-01,1.625
1971-01-01,1.925
1972-01-01,2.625
1973-01-01,2.325
1974-01-01,2.7
1975-01-01,4.925
1976-01-01,4.75
1977-01-01,5.65
1978-01-01,6.442533
1979-01-01,6.265499
1980-01-01,6.106246
1981-01-01,5.783571
1982-01-01,7.156132
1983-01-01,9.961594
1984-01-01,8.98968
1985-01-01,8.262986
1986-01-01,8.081038000000001
1987-01-01,8.108039999999999
1988-01-01,7.2279539999999995
1989-01-01,6.179825
1990-01-01,6.922999999999999
1991-01-01,9.576522
1992-01-01,10.72814
1993-01-01,10.87467
1994-01-01,9.72219
1995-01-01,8.472281
1996-01-01,8.506114
1997-01-01,8.362488
1998-01-01,7.677428999999999
1999-01-01,6.873791000000001
2000-01-01,6.285546
2001-01-01,6.742172999999999
2002-01-01,6.368911
2003-01-01,5.92842
2004-01-01,5.3967339999999995
2005-01-01,5.033881
2006-01-01,4.78524
2007-01-01,4.379151
2008-01-01,4.23433
2009-01-01,5.560385
2010-01-01,5.2133400000000005
2011-01-01,5.081195
2012-01-01,5.223376
2013-01-01,5.66194
2014-01-01,6.077244
2015-01-01,6.056423000000001
2016-01-01,5.710301
2017-01-01,5.59376
2018-01-01,5.299831
2019-01-01,5.161091000000001
