TIME,UR
1991-01-01,5.525
1992-01-01,6.566667
1993-01-01,7.7916669999999995
1994-01-01,8.45
1995-01-01,8.25
1996-01-01,8.941667
1997-01-01,9.675
1998-01-01,9.45
1999-01-01,8.625
2000-01-01,8.008333
2001-01-01,7.858333
2002-01-01,8.683333
2003-01-01,9.808333
2004-01-01,10.5
2005-01-01,11.28333
2006-01-01,10.275
2007-01-01,8.541667
2008-01-01,7.425
2009-01-01,7.641667
2010-01-01,6.966667
2011-01-01,5.8333330000000005
2012-01-01,5.383333
2013-01-01,5.241667
2014-01-01,4.991667
2015-01-01,4.633333
2016-01-01,4.133333
2017-01-01,3.7583330000000004
2018-01-01,3.4
2019-01-01,3.15
